title;category;published_date;author;article_url;image_url;content;source_page
Modus Tipu-tipu Polisi Gadungan di Bekasi: Urus Perkara-Masuk PNS;;Senin, 15 Sep 2025 16:29 WIB;Wildan Noviansah - detikNews;https://news.detik.com/berita/d-8113245/modus-tipu-tipu-polisi-gadungan-di-bekasi-urus-perkara-masuk-pns;https://akcdn.detik.net.id/community/media/visual/2025/09/15/polisi-tangkap-polisi-gadungan-di-bekasi-1757928147560_43.jpeg?w=210&q=90;"Polres Metro Bekasi Kota menangkap pria berinisial W alias A (59) lantaran mengaku-mengaku menjadi anggota polisi berpangkat AKP dan menipu banyak orang. Dia melancarkan aksinya dengan menjanjikan pengurusan perkara. ""Kenalannya pas di jalan atau memang saling kenal. Karena si pelaku selaku mengaku polisi dengan pangkat AKP. Istilahnya katanya bisa menolong semua perkara, di Polres, masukin PNS, ngurusin proyek, dia menjanjikan itu,"" kata Kapolres Metro Bekasi Kota Kombes Mustofa kepada wartawan, Senin (15/9/2025).  SCROLL TO CONTINUE WITH CONTENT Hingga kini sudah ada tiga laporan polisi yang dilayangkan oleh korban. Namun, Mustofa menyebut diduga masih banyak lagi masyarakat yang menjadi korban penipuan pelaku. Dia merinci, korban pertama bernama Kasiyanto yang meminta tolong pelaku untuk mencari sepeda motor karyawannya yang hilang. Saat itu pelaku meminta uang Rp 1 juta. Alih-alih motor karyawannya kembali, justru pelaku membawa kabur motor milik korban. ""Meminjam sepeda motor milik korban dengan alasan agar tidak mencolok pada saat melakukan penyamaran. Namun setelah korban memberikan uang dan meminjamkan motor ternyata pelaku berikut motor yang dipinjamkan tidak pernah kembali,"" ujarnya. Korban lain bernama Giyatna yang dijanjikan bisa menjadi seorang PNS. Korban diminta bayaran Rp 50 juta oleh pelaku. Saat itu pelaku juga mengirimkan foto tengah berada di BKN Cawang untuk meyakinkan korban. ""Untuk meyakini korban, pelaku mengirimkan foto saat berada di BKN Cawang seolah-olah pelaku sedang mengurus korban agar lolos menjadi CPNS. Kemudian setelah korban memberikan pembayaran terakhir, W Alias A langsung menghilang. Beberapa kali korban ke rumah W Alias A tetapi tidak ada dan tidak dapat dihubungi,"" jelasnya. Selain itu, ada korban lain bernama Uun yang meminta pelaku untuk membebaskan anaknya yang ditahan di Polres Metro Bekasi. Pelaku meminta imbalan Rp 20 juta untuk pengurusan perkara itu. ""Korban merasa yakin terhadap pelaku W Alias A karena memakai seragam dinas kepolisian. Pelaku W Alias A menjanjikan setelah uang diterima anak korban yang ditahan di Polres Metro Bekasi pasti keluar. Korban mengetahui bahwa pelaku W Alias A adalah bukan anggota polisi, setelah mendapat berita pelaku W Alias A telah diamankan di Polsek Tambun,"" imbuhnya.  Hingga kini total kerugian yang disebabkan pelaku mencapai Rp 86 juta. Saat ini pelaku sudah ditetapkan sebagai tersangka dan ditahan. Dia dijerat dengan Pasal 378 KUHP dan atau Pasal 372 KUHP.";1
Eks PM Thaksin Shinawatra Dipindah ke Rumah Sakit Penjara;;Senin, 15 Sep 2025 16:26 WIB;Novi Christiastuti - detikNews;https://news.detik.com/internasional/d-8113234/eks-pm-thaksin-shinawatra-dipindah-ke-rumah-sakit-penjara;https://akcdn.detik.net.id/community/media/visual/2025/09/09/thaksin-shinawatra-1757398219620_43.jpeg?w=210&q=90;"Mantan Perdana Menteri (PM) Thailand Thaksin Shinawatra, yang kini mendekam di penjara Bangkok, ibu kota Thailand, baru saja dipindahkan ke sayap rumah sakit penjara. Pemindahan dilakukan dengan alasan usia dan masalah kesehatan kronis yang diderita Thaksin yang kini berusia 76 tahun. Pekan lalu, Mahkamah Agung Thailand memerintahkan Thaksin untuk menjalani hukuman penjara selama satu tahun, setelah memutuskan bahwa sang mantan PM telah menjalani masa hukuman, tahun 2023 lalu, secara tidak patut di kamar rumah sakit, bukannya di dalam sel penjara. Sebagai tokoh berpengaruh di Thailand, Thaksin yang sosoknya kontroversial ini bergulat dengan pemerintahan pro-monarki dan pro-militer selama dua dekade terakhir. SCROLL TO CONTINUE WITH CONTENT Namun gerakan dinasti Shinawatra melemah, dengan putrinya Paetongtarn Shinawatra dipecat dari jabatannya sebagai PM Thailand bulan lalu dan kini Thaksin mendekat di dalam penjara Klong Prem Bangkok.  Seorang pejabat senior pada Departemen Pemasyarakatan, yang enggan disebut namanya, seperti dilansir AFP, Senin (15/9/2025), menuturkan bahwa Thaksin ""telah dipindahkan untuk tinggal di sayap medis karena usia dan kondisi kesehatannya yang buruk akibat penyakit kronis"" pada Senin (15/9) waktu setempat. Tidak dijelaskan lebih lanjut apakah Thaksin sedang menerima perawatan medis atau dipindahkan ke sayap medis sebagai tindakan pencegahan. Putrinya, Paetongtarn, bersama ibunda dan kakak perempuannya, termasuk di antara rombongan pertama yang mengunjungi Thaksin di penjara pada Senin (15/9) waktu setempat setelah dia menyelesaikan masa karantina wajib.  Setelah kunjungan selama 30 menit, Paetongtarn mengatakan kepada para wartawan dan sekelompok pendukung Thaksin yang menunggu di luar penjara bahwa rambut sang ayah telah dicukur sesuai dengan peraturan bagi narapidana. ""Kesehatannya baik. Dia mengalami beberapa masalah tekanan darah, tetapi wajar bagi semua orang yang berada di dalam penjara untuk mengalami stres,"" ujarnya. Thaksin pulang ke Thailand pada Agustus 2023 setelah belasan tahun mengasingkan diri. Dia kemudian dijatuhi hukuman delapan tahun penjara atas dakwaan korupsi dan penyalahgunaan kekuasaan. Tetapi Thaksin tidak pernah sekalipun menghabiskan malam di sel penjara.  Dia dibawa ke kamar pribadi di sebuah rumah sakit, dan hukumannya dikurangi menjadi satu tahun penjara oleh pengampunan yang diberikan Raja Maha Vajiralongkorn, sebelum dia dibebaskan sebagai bagian skema pembebasan dini untuk narapidana lanjut usia. Pengacara Thaksin, Winyat Chatmontree, mengatakan ""belum waktunya"" untuk mengajukan permohonan agar kliennya menjalani hukuman di luar penjara. ""Harus ada masa hukuman penjara, sesuai peraturan, sebelum hal itu dapat dipertimbangkan,"" ucap Winyat, sembari menambahkan bahwa Thaksin tidak meminta perlakuan istimewa apa pun, termasuk pengaturan keamanan, dan ""tidak memiliki ruang khusus"" di penjara.";1
Polisi Gadungan di Bekasi Tipu-tipu Warga hingga Rugi Rp 86 Juta;;Senin, 15 Sep 2025 16:24 WIB;Wildan Noviansah - detikNews;https://news.detik.com/berita/d-8113223/polisi-gadungan-di-bekasi-tipu-tipu-warga-hingga-rugi-rp-86-juta;https://akcdn.detik.net.id/community/media/visual/2025/09/15/polisi-tangkap-polisi-gadungan-di-bekasi-1757928147647_43.jpeg?w=210&q=90;"Polres Metro Bekasi menangkap pria berinisial W alias A (59) yang mengaku-ngaku sebagai polisi berpangkat AKP. Tak hanya itu, polisi gadungan tersebut menipu warga Bekasi hingga mengalami kerugian mencapai Rp 86 juta. ""Pelaku melakukan penipuan terhadap para korban dengan berpura-pura mengaku sebagai anggota kepolisian dengan pangkat AKP untuk mendapatkan keuntungan,"" kata Kapolres Metro Bekasi Kombes Mustofa saat dihubungi, Senin (15/9/2025). Kombes Mustofa menyebutkan sudah ada tiga laporan dari korban polisi gadungan tersebut. Namun Mustofa menduga masih banyak masyarakat yang menjadi korban penipuan pelaku. SCROLL TO CONTINUE WITH CONTENT ""Total kerugian dari semua korban yang sudah melapor sebesar Rp 86 juta,"" ujar Mustofa. Mustofa mengatakan pelaku menjanjikan pengurusan perkara hingga iming-iming masuk PNS kepada warga. Para korban, menurut Mustofa, dipilih secara acak saat pelaku berkenalan dan mengaku-ngaku sebagai polisi. ""Kenalannya pas di jalan atau memang saling kenal karena si pelaku selaku mengaku polisi dengan pangkat AKP. Istilahnya katanya bisa menolong semua perkara, di polres, masukin PNS, ngurusin proyek, dia menjanjikan itu,"" ucapnya. Saat ini, pelaku A sudah ditetapkan sebagai tersangka dan ditahan. Tersangka dijerat dengan Pasal 378 KUHP dan/atau Pasal 372 KUHP.";1
Menkomdigi Sebut Penayangan Video Prabowo di Bioskop Bentuk Transparansi;;Senin, 15 Sep 2025 16:22 WIB;Dwi Rahmawati - detikNews;https://news.detik.com/berita/d-8113219/menkomdigi-sebut-penayangan-video-prabowo-di-bioskop-bentuk-transparansi;https://akcdn.detik.net.id/community/media/visual/2025/09/15/menkomdigi-ri-meutya-hafid-dwidetikcom-1757928118913_43.jpeg?w=210&q=90;"Menteri Komunikasi dan Digital (Menkomdigi) RI Meutya Hafid mengatakan penyiaran rekaman video mengenai kinerja pemerintahan Presiden Prabowo Subianto di bioskop sebagai bentuk transparansi. Dia menyebut penayangan video di bioskop bentuk komunikasi terhadap publik. ""Pada prinsipnya komunikasi publik harus dijalankan dalam berbagai ruang, beragam ruang ya. Kita juga melihat ini dalam bentuk transparansi publik. Publik harus tahu program-program sudah berjalan, apa yang sudah berjalan, kemudian juga bagaimana pelaksanaannya,"" kata Meutya usai rapat tertutup dengan Komisi I DPR RI, Senayan, Jakarta Pusat, Senin (15/9/2025).  SCROLL TO CONTINUE WITH CONTENT Meutya mengatakan kebijakan itu bagian dari transparansi program-program pemerintah. Dia mengatakan Komdigi dalam hal ini juga sudah berkoordinasi dengan Presidential Communication Office (PCO).""Itu saya rasa salah satu tugas dari pemerintah untuk melakukan komunikasi dan juga transparansi dari program-program. Tadi saya sudah menjawab ya, kita melakukan komunikasi publik dalam banyak hal,"" ujar Meutya. ""Tidak hanya Komdigi tapi bekerja sama dengan PCO dan juga teman-teman lain untuk melakukan penyampaian dan juga transparansi informasi dari program-program pemerintah,"" sambungnya. Seperti diketahui, video capaian Prabowo tayang di bioskop tengah ramai dibahas publik. Dilihat detikcom, Minggu (14/9), video itu menampilkan berbagai cuplikan kegiatan dan potongan pernyataan Prabowo. Video tersebut memuat narasi dan angka dari berbagai pencapaian program, seperti 21.760.000 ton total produksi beras nasional hingga Agustus 2025 dan 5.800 Satuan Pelayanan Pemenuhan Gizi (SPPG) yang telah beroperasi.  Kemudian, dinarasikan sebanyak 80 ribu kelembagaan Koperasi Desa Merah Putih resmi diluncurkan. Selain itu, ada narasi 100 Sekolah Rakyat telah diluncurkan. Menteri Sekretaris Negara (Mensesneg) sekaligus jubir Istana, Prasetyo Hadi, juga sempat buka suara. Ia mengatakan penyampaian pesan di ruang-ruang publik merupakan hal lumrah. ""Tentunya sepanjang tidak melanggar aturan, tidak mengganggu kenyamanan keindahan, maka penggunaan media-media publik untuk menyampaikan sebuah pesan tentu sebuah hal yang lumrah,"" kata Prasetyo kepada wartawan, Minggu (14/9).";1
Video: Data Belum Lengkap, Sidang Gugatan Ijazah Gibran Ditunda;;93 Views  |  Senin, 15 Sep 2025 16:16 WIB;;https://20.detik.com/detikupdate/20250915-250915052/video-data-belum-lengkap-sidang-gugatan-ijazah-gibran-ditunda;https://akcdn.detik.net.id/community/media/visual/2025/09/09/gedung-pengadilan-tipikor-mataram-selasa-992025-abdurrasyid-efendidetikbali-1757417221554_43.jpeg?w=210&q=90;Sidang gugatan perdata Rp 125 triliun terhadap Wakil Presiden RI Gibran Rakabuming kembali ditunda. Ketua Majelis Hakim mengatakan dokumen-dokumen legal standing pihak tergugat satu yaitu Gibran Rakabuming dan tergugat dua KPU RI belum lengkap. Sidang akan dilakukan pada 22 September 2025 di Pengadilan Negeri Tipikor Jakarta Pusat.;1
Petugas Disiagakan Atur Lalin Saat Uji Coba Pelican Cross di Stasiun Cikini;;Senin, 15 Sep 2025 16:12 WIB;Antara News - detikNews;https://news.detik.com/berita/d-8113197/petugas-disiagakan-atur-lalin-saat-uji-coba-pelican-cross-di-stasiun-cikini;https://akcdn.detik.net.id/community/media/visual/2025/09/15/mulai-hari-ini-warga-bisa-gunakan-pelican-crossing-di-stasiun-cikini-1757907431482_43.jpeg?w=210&q=90;"Penyeberangan pejalan kaki pelican cross diuji coba di sisi timur Stasiun Cikini, Jakarta Pusat (Jakpus). Sejumlah petugas disiagakan untuk mengatur lalu lintas (lalin). ""Kita lihat dahulu, kalau ini efektif pasti permanen. Kita mengakomodasi semua pihak, baik itu pengguna kereta api, KAI, maupun warga sekitar,"" kata Wali Kota Jakpus, Arifin, dilansir Antara, Senin (15/9/2025). Pelican crossing (pedestrian light controlled) atau penyeberangan pejalan kaki yang dikontrol lampu lalu lintas diuji coba untuk mempermudah akses penumpang KRL yang hendak ke Stasiun Cikini. Penyeberangan pedestrian ini dibuat sebagai respons atas banyaknya aduan dari penumpang KRL yang kerap melompat untuk keluar-masuk Stasiun Cikini. SCROLL TO CONTINUE WITH CONTENT Penyeberangan pedestrian ini berdurasi setiap sekitar 10-12 detik. Pemprov DKI Jakarta juga menempatkan petugas dari Dinas Perhubungan (Dishub) dan Satpol PP untuk mengantisipasi dampak lain dari uji coba tersebut. Arifin mengatakan petugas dishub bertugas mengatur arus kendaraan agar tidak terjadi penumpukan atau kemacetan, terutama dari angkutan umum. Sementara petugas Satpol PP akan memastikan trotoar tetap tertib dari pedagang kaki lima (PKL) yang berpotensi mengganggu lalu lintas pejalan kaki. Dia menyampaikan, uji coba ini akan berlangsung sekitar satu minggu sebelum diputuskan apakah pelican crossing akan dibuat permanen. Karena akses resmi sebelumnya hanya tersedia di sisi utara dan selatan stasiun sehingga sebagian penumpang memilih jalur pintas dengan memanjat pagar di area tengah. Arifin menyampaikan, pelican crossing ini dibuat sebagai langkah cepat untuk mengurangi kebiasaan penumpang yang memanjat pagar. ""Kita coba ambil salah satu solusi, yang hari ini kita uji cobakan, kita buat pelican crossing, buat penyeberangan orang keluar masuk stasiun,"" ujarnya.  Pemprov DKI Jakarta telah membuat pelican crossing untuk akses menuju Stasiun Cikini, Jakarta Pusat. Gubernur DKI Jakarta Pramono Anung mengatakan warga kini tak perlu berputar terlalu jauh untuk masuk stasiun. ""Cikini yang kemarin juga mendapatkan keluhan karena pagarnya ditinggikan sehingga orang kesulitan maka saya bersama dengan jajaran Balai Kota telah memutuskan kita buat zebra cross di sana dan kita buka. Sehingga demikian masyarakat sekarang ini kalau ke Cikini tidak perlu lagi muter yang terlalu jauh, mereka bisa langsung masuk ke Cikini,"" ujar Pramono di Jakarta, Senin (15/9). Pramono berharap warga memanfaatkan fasilitas itu dengan baik. Dia juga mengajak warga mematuhi aturan. ""Kami juga mengimbau masyarakat supaya mematuhi hal-hal yang sudah kita persiapkan untuk itu. Zebra cross-nya sudah kita selesaikan, silakan dilihat langsung di lapangan,"" katanya.";1
Pemerintah Beri Diskon Iuran BPJS Ketenagakerjaan buat Ojol-Kurir Paket;;Senin, 15 Sep 2025 16:12 WIB;Eva Safitri - detikNews;https://news.detik.com/berita/d-8113196/pemerintah-beri-diskon-iuran-bpjs-ketenagakerjaan-buat-ojol-kurir-paket;https://akcdn.detik.net.id/community/media/visual/2025/09/09/airlangga-dipanggil-ke-istana-1757403879053_43.jpeg?w=210&q=90;"Pemerintah memberikan diskon iuran 50% untuk dua jenis manfaat BPJS Ketenagakerjaan, yakni Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKM). Diskon ini akan diberikan kepada 731.361 orang pekerja bukan penerima upah (BPU). Diskon iuran JKK dan JKM bagi pekerja BPU ini termasuk dalam 8+4+5 insentif stimulus ekonomi 2025. Adapun pekerja yang termasuk kategori BPU antara lain pengemudi transportasi online atau ojol, ojek pangkalan, sopir, kurir, hingga pekerja logistik. ""Target penerimanya adalah 731.361 orang, diberikan diskon 50% untuk JKK dan JKM,"" kata Menko Perekonomian Airlangga Hartarto di Kantor Presiden, Istana Negara, Jakarta, Senin (15/9/2025). SCROLL TO CONTINUE WITH CONTENT Pemerintah mengalokasikan Rp 36 miliar untuk diskon tersebut. Program ini berlangsung selama 6 bulan. ""Jadi, JKK dan JKM itu tentunya kita berharap bahwa ini bisa diterima oleh ojol dan dana yang diperlukan adalah Rp 36 miliar dan disiapkan oleh BPJS. Nah, ini JKK itu santunan kematian 48 kali upah, santunan cacat 56 kali upah, beasiswa Rp 174 juta untuk 2 orang anak, dan jaminan kematian itu totalnya bisa menerima Rp 42 juta,"" ujar Airlangga.  Airlangga juga menyebutkan diskon iuran ini bakal berlanjut pada 2026. Tahun depan, pemerintah akan memperluas jumlah penerimanya, termasuk untuk petani hingga pedagang. Target penerima mencapai 9,9 juta dengan perkiraan anggaran Rp 753 miliar. ""Ini bukan hanya untuk ojol dan juga pangkalan dan yang lain, tetapi juga pekerja bukan menerima upah lainnya seperti segmen petani, pedagang, nelayan, buruh bangunan, pekerja rumah tangga,"" ujarnya. Berikut daftar lengkap 8+4+5 program stimulus Ekonomi 2025 yang resmi dirilis pemerintah: 8 Program Akselerasi Program 2025 1. Program magang lulusan perguruan tinggi (maksimal fresh graduated 1 tahun).2. Perluasan PPh pasal 21 DTP untuk pekerja di sektor terkait pariwisata 3. Bantuan pangan periode Oktober-November 2025.4. Diskon Iuran Jaminan Kecelakaan Kerja (JKK) dan Jaminan Kematian (JKM) bagi BPU transportasi online/ojol (termasuk ojek pangkalan, sopir, kurir, dan logistik) selama 6 tahun.5. Program Manfaat Layanan Tambahan (MLT) Perumahan BPJS Ketenagakerjaan 6. Program Padat Karya Tunai (cash for work) Kemenhub dan KemenPU7. Program Deregulasi Implementasi PP28/20258. Program Perkotaan (Pilot Project DKI Jakarta) perbaikan kualitas pemukiman dan penyediaan platform pemasaran dan Gigs UMKM.  4 Program Dilanjutkan di Program 2026 1. Perpanjangan jangka waktu pemanfaatan PPh Final 0,5% bagi Wajib Pajak UMKM Tahun 2026 serta Penyesuaian Penerima PPh Final 0,5% bagi Wajib Pajak UM KM2. Perpanjangan PPh 21 DTP untuk Pekerja di Sektor terkait Pariwisata (APBN 2026)3. PPh Pasal 21 DTP untuk Pekerja di Industri Padat Karya(APBN 2026)4. Program Diskon luran JKK dan JKM untuk semua penerima Bukan Penerima Upah (BPU). 5 Program Penyerapan Tenaga Kerja 1. Operasional KDKMP (Koperasi Desa/Kelurahan Merah Putih)2. Replanting di Perkebunan Rakyat3. Kampung Nelayan Merah Putih4. Revitalisasi Tambak Pantura5. Modernisasi Kapal Nelayan.";1
Tim Macan Polres Kuansing Tangkap Pelaku Pencurian dengan Kekerasan;;Senin, 15 Sep 2025 16:06 WIB;Jabbar Ramdhani - detikNews;https://news.detik.com/melindungi-tuah-marwah/d-8113176/tim-macan-polres-kuansing-tangkap-pelaku-pencurian-dengan-kekerasan;https://akcdn.detik.net.id/community/media/visual/2023/07/25/ilustrasi-penangkapan_43.jpeg?w=210&q=90;"Tim Macan Kuayah Satuan Reserse Kriminal (Satreskrim) Polres Kuantan Singingi menangkap seorang pelaku pencurian dengan kekerasan. Pelaku, berinisial ADP (25), dibekuk di Simpang Kuburan Keramat, Kelurahan Pasar Taluk, Kecamatan Kuantan Tengah, pada Minggu (24/8) malam. Kasat Reskrim Polres Kuansing AKP Shilton mengatakan penangkapan ini berawal dari laporan masyarakat yang diterima oleh Satreskrim Polres Kuansing. Informasi tersebut menyebutkan telah terjadi dugaan tindak pidana pencurian dengan kekerasan yang dilakukan oleh pelaku ADP. ""Kemudian kami melakukan penyelidikan dan menangkap pelaku berikut barang bukti,"" kata Shilton, dalam keterangannya, Senin (15/9/2025). SCROLL TO CONTINUE WITH CONTENT Penangkapan ini terjadi pada puncak Pacu Jalur. Polisi melakukan interogasi terhadap pelaku di Posko Command Center Pacu Jalur.  ""Kemudian"" pelaku dan barang bukti dibawa ke Polres Kuantan Singingi untuk proses hukum lebih lanjut,"" imbuhnya. Dalam pengungkapan ini, Tim Macan Kuayah juga mengamankan beberapa barang bukti, antara lain satu unit sepeda motor merek CRF berwarna hitam, kunci motor, dan sebuah kunci rumah. Saat ini Satreskrim Polres Kuansing tengah mendalami keterangan saksi dan tersangka guna melengkapi berkas administrasi dan melimpahkan kasus ini ke kejaksaan. Atas perbuatannya, pelaku disangkakan dengan Pasal 365 KUHP tentang Pencurian dengan Kekerasan. Saat ini, pelaku telah ditahan di Polres Kuansing.  ";1
Komisi XIII DPR Minta Kemenkum Perbanyak Program Kesadaran Hukum;;Senin, 15 Sep 2025 16:03 WIB;Adrial akbar - detikNews;https://news.detik.com/berita/d-8113164/komisi-xiii-dpr-minta-kemenkum-perbanyak-program-kesadaran-hukum;https://akcdn.detik.net.id/community/media/visual/2025/02/26/wakil-ketua-komisi-xiii-dpr-ri-sugiat-santoso-dok-istimewa-1740550517524_43.jpeg?w=210&q=90;"Komisi XIII DPR menggelar rapat kerja dengan Kementerian Hukum (Kemenkum) RI. Kemenkum diminta agar memperbanyak program untuk membentuk kesadaran hukum masyarakat untuk mencegah kerusuhan usai demo beberapa waktu lalu. Hal itu dikatakan oleh Wakil Ketua Komisi XIII DPR RI, Sugiat Santoso, dalam rapat kerja bersama Kemenkum, Senin (15/9/2025). Sugiat menyebut kerusuhan yang terjadi beberapa waktu ke belakang salah satunya karena masyarakat yang kurang kesadaran terhadap hukum. ""Apa yang terjadi kemarin kan itu sesungguhnya bentuk konkret bagaimana rakyat belum memiliki kesadaran untuk tegak terhadap persoalan hukum. Bagaimana penjarahan, bagaimana kerusuhan, saya pikir itu tidak boleh terulang lagi,"" kata Sugiat. SCROLL TO CONTINUE WITH CONTENT  ""Kita belajar dari peristiwa kemarin. Dan saya pikir perlu juga Kementerian Hukum memfasilitasi sebanyak-banyaknya program yang itu bisa mendekatkan institusi negara kepada rakyat,"" tambahnya. Sugiat juga meminta Kemenkum memperbanyak pembentukan organisasi bantuan hukum untuk masyarakat. Dirinya mencontohkan di beberapa wilayah yang masih belum memiliki lembaga bantuan hukum. ""Organisasi bantuan hukum dan pos bantuan hukum ini kan bentuk kehadiran negara di tengah akar rumput terkait dengan bagaimana negara memfasilitasi pelayanan hukum di rakyatnya,"" sebutnya.  Komisi XIII, kata dia, siap berkolaborasi penyusunan program tersebut. Hal itu karena program-program tersebut dibutuhkan untuk masyarakat. ""Kita juga siap berkolaborasi untuk memfasilitasi program itu. Misalnya terkait dengan program pembentukan organisasi bantuan hukum,"" ucapnya.";1
Wakil Ketua MPR Nilai Pendidikan Berkualitas Jadi Kebutuhan Mendesak;;Senin, 15 Sep 2025 16:00 WIB;Moch Prima Fauzi - detikNews;https://news.detik.com/berita/d-8113159/wakil-ketua-mpr-nilai-pendidikan-berkualitas-jadi-kebutuhan-mendesak;https://akcdn.detik.net.id/community/media/visual/2025/08/23/wakil-ketua-mpr-lestari-moerdijat-1755957573572_43.jpeg?w=210&q=90;"Wakil Ketua MPR RI, Lestari Moerdijat menilai pendidikan berkualitas merupakan kebutuhan yang mendesak. Hal itu diperlukan untuk mencetak sumber daya manusia (SDM) nasional yang kompetitif di kancah global. ""Mewujudkan pendidikan yang berkualitas bagi setiap anak bangsa merupakan kebutuhan yang mendesak untuk direalisasikan sebagai bagian proses pembangunan SDM nasional,"" kata Lestari Moerdijat dalam keterangan tertulisnya, Senin (15/9/2025). Perempuan yang akrab disapa Rerie tersebut mengatakan Bank Dunia dalam laporannya pada tahun 2020 yang berjudul 'The Promise of Education in Indonesia' memperingatkan bahwa learning poverty (kemiskinan pembelajaran) yang tinggi dapat menghambat pertumbuhan ekonomi dan produktivitas nasional. SCROLL TO CONTINUE WITH CONTENT Sebaliknya, investasi dalam pendidikan bermutu memiliki Return on Investment (ROI) yang sangat tinggi. Menurut Rerie, catatan tersebut harus mendapatkan perhatian serius dan dipahami semua pihak, bahwa keberhasilan pencapaian pembangunan di sektor pendidikan dapat mempengaruhi produktivitas nasional. Apalagi, ujar Rerie, catatan Badan Pusat Statistik (BPS) pada 2022 menunjukkan Angka Partisipasi Murni (APM) untuk jenjang SMA/Sederajat masih berada di angka 79,77%. Artinya, masih banyak anak Indonesia yang tidak dapat mengakses pendidikan menengah. Sementara itu, tambah Rerie, Program for International Student Assessment (PISA) 2022 yang dirilis Organisation for Economic Co-operation and Development (OECD) menempatkan Indonesia di peringkat bawah dalam kemampuan membaca, matematika, dan sains. Skor Indonesia untuk membaca (359), matematika (366), dan sains (383) masih di bawah rata-rata negara OECD. Rerie yang juga anggota Komisi X DPR RI dari Dapil II Jawa Tengah itu berpendapat, dengan mendesaknya kehadiran pendidikan yang berkualitas dan kondisi kemampuan pelajar Indonesia yang relatif rendah, dibutuhkan upaya yang lebih lagi untuk mewujudkan pendidikan bermutu bagi setiap anak bangsa. Anggota Majelis Tinggi Partai NasDem itu berharap dukungan para pemangku kepentingan di tingkat pusat dan daerah dapat segera diwujudkan, sebagai bagian dari upaya untuk melahirkan generasi penerus bangsa yang berdaya saing di masa depan.";1
